hash,obfuscated,time
db5a9b3a8669d36e210e17118ca099ed264dc85ce872ac5a91402e7670fb7ef8.apk,True,18.43
d6954337d3e991d1e652ae5e45bbed58a44b5fc945169645522f46fc78fe7fb5.apk,True,12.34
856685d106abbfafbb240b881288fd0a079acf346cabd720b86e5dd1ce2f70ec.apk,True,15.72
4e8fb29139c61ee94e83ba4b22c88f88c5c943b919bc0f42cec4abc1fd490e34.apk,True,15.49
499f3d643c6b18d94961262ba6d26f979ffdeee0246a645aa188135b052db0a9.apk,True,7.76
332380cd0cbb34bd4ccc2af3a75f9100ae16bc815eee6fdd8c7dca7b5477babd.apk,False,30.49
21d3359fafff4100e2b15bf59d5f56e398bf7daaf5a813a044daa21ac8bfa0e7.apk,True,16.60
0d72d0b66c741a1a07f4214811bfd0f00cbdfaae3d03670543fe3835f9076201.apk,True,73.98
5066aacdf38cfcb1bfc7ca99a2a5e131f1bb5e2bdc436096d920bc8cc21dfb35.apk,True,38.58
701e52441ab813ec1af926c6b7b98c51bb4dc8d33d6b5326392145428438351a.apk,True,22.54
c02d349c9aed2ff143177847cf9ec78cf47e12ee76f3c72609fb377b31dba82f.apk,True,24.84
d1955105cc3299e7468925a290597e7be632aa2b49f5eba1a0ef6bfa6c42d039.apk,True,11.85
4efae3628f2b5e38c551e31f09333578f0ab841fa80ef42690c1b7c24668109c.apk,True,16.59
742f8209fe1c2c08bc8f1bb4c6c18df91315efb98a930c2ceadf2011d61a9c96.apk,True,25.55
118178261b97cdf7d06f7a665c857b23aab8138830f08a3d4063d94a4fd1d679.apk,True,3.42
a49100a0407879e007b124993589290a735dd9e1ef1c061a3b959e77210dd92f.apk,True,11.10
cb3eef204bde9c12152db998cf75b6d7e4b6b425b9afce02f474774a39005180.apk,True,10.41
5060797255e91232bab83c9f73c439727ab822c3c6dd45877b229816547db2d4.apk,True,17.16
23783821e17a8a1540ae73dd063164ad7d2896d3b546b9c33a2bfd4507924534.apk,True,23.33
35f033b812e7e862265f35821e11629499e90cbb9ccf474c4eeea4bfbbd37fd6.apk,True,39.54
4b536d83916cbc61cf5946f2cf55900d63f417bc2a8f9642f769b41fb600a42e.apk,True,19.61
15de95d4869bbf48d97e62e5ebfe9914e9fa90afb4b09fd3c92c169d28753f30.apk,True,11.01
64dfafc6e1b4d334c8a54b66bd74a9cc6e13ce877c5e98847993d3546a5e3949.apk,True,7.79
1b8ae78b1cd7f604189c63c8f0172fce5926e61465c445d19b88373f4a631345.apk,True,18.31
fd58cf5c13b3a58299e2d266457948cf6832f6eca07faf64de24dca96d374d44.apk,True,29.25
e669f5f0b0d5854a829451e8be3eec02f1b1f02bfbb0267dc87866ed61accc47.apk,True,3.33
48f093717f920de33e0b7d26ef5dd6e857f6f1b8b4af23b2ed7345f92989fc95.apk,False,34.06
d1c41a480aa8216a105b6c7227599a53d4c710c18660cab268a4b3164d67814f.apk,True,19.95
c8b2c35973d1078e458b2b8aafe196d5d166da5e3c60e0d41c92f8476bac9325.apk,False,37.86
ba253ba3c18dcb967ca3a8207ea11970965e927bb9bc3e9cbfe519616c15f305.apk,True,17.34
4681f837f31665f60f82d468757cd78e1506ec8ff77346c2dfb6632e62d27c48.apk,True,23.73
b025d627af684f401f763422819f56920c9b6aeb86db4fd374db46ed33be8f53.apk,True,17.19
2d4e36cf055341af22762552cf3bb9a86e1225fe52b06ec2c816a9578a3d9e8c.apk,False,14.81
feedacddfcc37737eb3be841d9c801cf1a8a3ba4ff3b35ce370db4f02a86d651.apk,False,32.23
09b1ba8e1efb8f5ed3327cd95352edb98b5deaab0a938e3c0af84bb2de787812.apk,True,53.64
3ea08067f8d2f24218383088c67778f774ee47ae56ebb32fd732da18841a1abd.apk,True,17.59
82706362a6f7d71949720618cb85ade8cd4d2e1fe410b1da9202ece592951c7f.apk,False,14.32
909ad3eeb52b78b97e8ff72d78f6b08c2e71bfc70082b2f3bf9e4a7951b99884.apk,True,12.31
7ab659ed8260b32edae33400ad371812fb3c0583e916cc3c583314eb9903d7e6.apk,True,48.42
0b39da94469fffec376c6e9cb00d80fbfc3be79440e42e4494a0e55c91ed2418.apk,True,3.20
f2ce8b709c0f87fc610bae752f5700523a969ea3cfddf727a7775ae4af9ced9a.apk,True,12.48
9cf4c820eef86f0c6dab4387f939ac1754344f4026e416d34b246a319f9dfe98.apk,True,15.73
d555050f0866c8593a047e950d0502f567395da6316bee7b73bf974c8e70110a.apk,True,13.70
843bcb79076053eae58586af5951317afcef97fc3f47f891ff5ee096775aeb82.apk,True,8.73
c1a6d1abe2879b5de0fff086ce179d1815cd0d6b3bfd39001371952d57987418.apk,True,16.57
0aad7dd2e4e73f64511a16bfceef14a168376e9695840dfb6672937e283453e2.apk,True,25.16
7aaf23be3ed3d52d3e5bb5165b26e8e755e73e088e41358ca9b3f155a2c86a4d.apk,True,18.99
2a5d1568932634d8b3da46adcd6634df390948783c84825b1702ae72e6caaa63.apk,True,26.57
06d4a757c7d3cc26c834063a318f744a56a85e9d80994f58cdc43bb91b750f3b.apk,True,17.25
a0ff2918128db754d98959a462cd586c4e25379db6d1b12f2c9c365c0b769873.apk,True,25.35
2a4d19cdf075f2bf4ba25bddddcdc82f0727b313cb84faf3202cfac55438333b.apk,True,17.29
5252b7d373e2edc9e9388ac4124204cd221561ff96672f684df0f62273eb169c.apk,False,28.87
cca584dc4f680a2faea31af3d93d04755691242914c4954bb4cd5d4177cb803a.apk,False,13.33
ea65d2d8a273cd92187d04e5270ea77a8a3e414a277eb86269479aa09368cefd.apk,False,26.33
b26f821f524558595cbbe32d7b412a37531585fe0f4ba49c05774295fa27677e.apk,True,16.63
55c51b96d2adf8d9fb943621b46f362247272dc6b1e16e9eda03e1cf40aeb9c9.apk,True,28.02
76505cc6cc4e5a2d985bd1f46978d7ce7c948bb07e7b2c5f751c304c2976d09d.apk,False,15.02
dc891707d627f949b8014f521862593e7b48e579ef909f734291f21f4e97dd96.apk,True,20.29
a3c1644cba6313ded8d1880f956c3e2f60836f8230b47dc4ac7ad339d0587720.apk,True,23.00
b13a0376094e6afa8e0059ba055ea0b0b39c93160ab2f0d15597e4f802cb1ff0.apk,True,3.63
515d2bdebddeb506469bdb27d14280617a3b79b74c14ed4ed02f22ac4b90825d.apk,True,22.24
b4821960a729851f7b918d2368dcef2d8261250048c6c1c9c9effb233abd7607.apk,True,23.19
7e4cc7d5cf37de274e5b0c08f3d5b479987beb7e4c9004c7032051bb851e20a5.apk,True,15.92
9cb3af4e693608502f5f6f516b8c3ffe51803a7d0a82c87af32b9c31555c3c87.apk,True,16.20
095741b17703b84e464509fe9fbb5d93fccaa4ac37e23427bfad685353e2aa63.apk,True,19.80
35c04be0be396777f40e07084709d3536ccb6ff891b1d1eb3d218299728eadd7.apk,True,24.11
b3c8d628f720bfdea27b88de4dc59eb9ed8eeab087b938c86964734978ab65d9.apk,False,23.26
a77cc260e4c98b1a8ad0345905c6549df0b98708252434b01b40e6ec4a61ddaf.apk,True,27.05
46e6f09d75b892b4acf49d170052386f1a2e1fd77420b39ddb726151bdbdfb61.apk,True,25.14
c1b0715eaa0dfba0d47455c7b7602f6203525f80e22e41e066e94a8ee0d8d2b6.apk,True,16.42
3c20127ef215c7655f20cd5a7784560e0240b6d4e9a8cc18c363bff12d6ce875.apk,True,16.22
1afe38cbe46031654f67849555ce0978ac8b4a13ef934ff45037e5a4b96a93c4.apk,True,39.38
933e6fe2f3fdff2e212794bcdeff4e08e1cc093cdb92860ab6e089cb97ec19c8.apk,True,14.59
d555faa7dbdcd12eaa3c3ee1475831e800fb615fe95b1fe8f46571ad9ede3144.apk,True,36.56
db51fa977c05cad35bc89e8e38d675141c7e056dd25168fa8c80da9a5f4bfacf.apk,True,14.99
32a6ed7b5c105d04dda5e46d4f14674ff734cd49c52d559196605bc250812947.apk,True,18.81
bd8e3f29abf24ffea417adabd9d43b734d2b241c5702633db538521ba96b9cb7.apk,True,14.05
309f4d2bf54098a291a5487f16d7300cb961a25aa76e48ff5b8f3eca781f7158.apk,True,16.66
f14bc6b98b5165e751413d5118f53d7396e2f18571bfcfc2ebfb54ea335d31d7.apk,True,19.73
eec1f31eaf4d70291249b97b8a070d6e104f02653fd39f714674c5278ec9ed64.apk,True,59.04
73975a033966ddec18caeb4f81aee872bb059c40034f6028effdd2c799111099.apk,True,8.42
ed1ab165f309c326eaa74f93b15dca31ba99ab0cb8a9d16d7184db8354ebaf29.apk,True,18.29
7cc4fd114087f99a86be188fea0f720d524a174352f840c444935f66700f2fb5.apk,True,16.37
cf95cad40e1be65b9a3a871bcf176731bed78e98118776c7c9c8eda48015e79e.apk,True,15.96
f2f1e4e388b9d87b2eccc00ea901e72dc0d173bc146b825f4294222afcdae186.apk,True,24.79
3205c2007a5ac4a77b45e159f2f1fbb99ff81bc45fb4ce6a3e711683621d7178.apk,True,17.82
a280010b610c842c40cb3910ed68a5fa0b2735db1324dcaf11e3c5aaaac7cce4.apk,True,14.29
524ca5deaede9bbdc783e94d752145254eb93337dd380e2e9674d43c1f6c4667.apk,True,11.80
46c1dcec027027eb584ad73762aa543cd7947b910687e485b2447f660a02af23.apk,True,21.67
c04162c7b839022771b4badea408e277ecb3d91cea732d18966d0e0c31df6d5e.apk,True,10.19
0e77ee1163cddd3007511197bfb3ad41006489db77438955c08fcef8552b4946.apk,False,13.67
8c77004cd5b26534e1594822acfdcbdced281a114b4f98f0e2b501b9d4a6bac7.apk,True,16.47
3b3ebe554c6c48f41ca9e3a844d617c5a1015e6790cd6a4733589707d24d6bd3.apk,True,9.96
7d1c3f899abc522503797b6a13a7f51d8dba2230320441c7b571f45bc6275623.apk,False,14.20
7d38eab2bb5dc45fd3ed723328e101e2328d48cb8236b6d90b54bd364805c179.apk,True,22.07
88a7c7bc7e707e1e8be3b2c783365683bf29dc1485f8c41ba3ed1c8e7f7d21e3.apk,True,16.09
9399f1b7127f7d3e7ee3b616d2d1cf0cca66935b847b657fd187f01539daf357.apk,True,16.36
5b3cfc2b06ef423caeb6624dd540ef8fcc7fa4220804664f7b7427f2be2bd5ae.apk,True,16.23
ea0c775b67165d805fc3f4d36c629f27d464ce14d93b59c8bc07c9985bb85b1d.apk,True,21.51
42ba6bf76af6dd72d033115dc70390f0f419631425dfe2575a918ff67e4e1556.apk,False,14.80
0b96221bfa210eef8c5c865e3af2d60f2b0d4b1b808b2e4b30095c751ffb7f24.apk,True,13.29
e0db2343f613652efd6ee89b02f9d227b1c4440e75223b767abd3c24c3d37799.apk,True,22.33
9a8d00a9501e40fa7e76240441cd35f7203650d264592dbe065a14cddca9c2ad.apk,True,16.96
4b223f2a5f2015375f5bf9e5b75f8c01fab68839878147f4a4aa1e5d92068001.apk,False,33.12
1ef64255b17613a630a305198e895615fc8e6d1ad93c018809c3df9c2d2ed9ff.apk,True,35.93
efedad9bf716f68e884a2c5f9c74900cdbad86506c67d6acfe87b1efd32c4be6.apk,True,19.25
094ca9754da2b7b8f64b402d63557550cdefb75490201239d7e2617298031b98.apk,False,39.06
fcdbeb2596961017a36d1abca0319d2b246b85c054f9e2906ae131a2910e3852.apk,True,12.92
a4d3987d4bab0db98a78b192cd778471bf4b6a05498bb3224b89de4687c14bce.apk,False,38.07
58dca76c42dcd59cbf606b60ee97fa6f74512ecc1bfdb1a879898069d7711ec0.apk,True,16.58
ee92e3968ee0791ca73082e720fd8a2d1b1ae9019b4cb6252e1c93c3a3a8018b.apk,True,25.02
50faeae138ed69d3cb3b6c8a30c6ff75c0470e725dff9a595d52b0744d04014f.apk,True,33.19
4ac7c4a43ea8ed7fac59776c8beb6955ba0bf639fe5efd23ecbcc73db5863476.apk,True,17.16
01e7ae1305ecf4819fdf5e29319f17e0ece1a30c1d699b5d78e7d4239e7f87d0.apk,True,20.24
3d39ea282e0d890e1ea3eb48d6509825ea391f1ab4dc98d2f74b8da7e6f1c8a6.apk,True,20.97
a2de2a7efc0ec3884abd1b19e6b87d2aaac27c794cb138f9b81b56cca56fe9bb.apk,True,7.97
027aa16e46035e24cd1e078b8332da4b6c783445728325d5c78d1a913e415ba3.apk,True,22.21
44832c90172bc4270814375cfd3f329e83c9fa5c78f90b27357ae5f033efd167.apk,True,9.50
7a0a76e0f16bc250abe2f1497e825eabfebf5beec29f945a0e775eef588a502a.apk,True,38.24
ec8b73ad480cbffc8b594f9ec1f0f939b5d50f2a5593226fb07c80a7a8c1fd32.apk,True,20.20
b41a2422fd1dfbca4aafccdf238a4d682b5209a925c7009a6b904aae74ce7b51.apk,True,3.48
098a7a6fd55e34623b3eb5b5677c0fc72e5d8c8e333f10bc5135eeebd0e1498d.apk,False,14.17
dc6cffe0ad24592aa7bd9005f2afab9b592b14e7d59dd6b019174b768dc9302a.apk,True,24.45
6cc35069c53c50bd0649b4353d9a5f8728d679a7b5e1a63a341fad2f45d3c471.apk,False,41.06
efd98b853fa7b5febf684b57156b395b7bf9d15e49fd8f88b92db5c600f1d78c.apk,True,20.30
d8d4d59be7f4afade49a2c6f9046a62ac3e10eef7ac2686cda564ecb02c88f4a.apk,True,8.41
84117803a6a2498d1ae6437ae42af8e5074be0e8e50c988fb9c2a60c5d3a4656.apk,True,19.49
412b655dc649d19e86a5a83496442f01e1eb634c855cddc0e1eee85e6f7c920b.apk,True,29.97
aaf4d3023bf45b3a27be228782faca02df2e99da109a6c9f30e0e28d7942b01f.apk,True,35.45
36578b2b19424648ef1640f926d0b9308e0282805a2cc3d662159260f6e54723.apk,True,13.86
89be15a513d58054382c02d42b23c2db40ed5adbb252571427255f27bee50502.apk,True,25.19
0defe1bdb3262c4c9e2e2f7bcc53f2cf8f4e1902716d83f36b3e2f6d6fffcdef.apk,True,45.91
af3f83ce0b01d53b893e6f718dae76c0b0c2ab4b9539b3cb5f23635936c84edb.apk,True,18.51
68fb6e6fb1ced5328a9c523e6ddc0d695c4d5f28664c3c32dcb7a131e3b4f42e.apk,True,27.72
5505b7cfc7e93e531f5c47e71286329d87f0cde37c4275b816cb3967dda342b8.apk,True,13.10
31ef2b4f6495abffe12f4f495b4c91f621d460ad8d1f3c49db51bfe557a48bd2.apk,True,24.69
8a7e43fd2698a65930ccf75d04dd30fbc24de4cec0cc58d2a9c172997b46f010.apk,True,16.34
