hash,obfuscated,time
30dcb2887d4d169bc636423103c16975,True,20.33
0e762ed48c01928f6295d69bf25686f8,True,17.69
1ada3431fd181a08c4a6484a136a9f05,True,17.55
f9c92ea93fd7763caba8482c86ed3558,True,25.26
6f82ba5825e220eef7fce8bad61a65c6,True,20.92
c818830fd5f8ca434def0806be2fa8fc,True,19.11
5fbfa9e7829024b235e1efd7b4ab5d70,True,24.78
65dd286016f4f7f71ff52358af6a8c1f,True,26.83
56e1655e29ef2f0db3289b51be2a5ce0,True,69.88
013a0cafc5f7ae9b0bf9271c3cee4dc5,True,45.01
18cde7b1b99c04efcde456a8a4b72005,True,19.96
4e848cfc89d952bcde5f153d291d6ed5,True,15.05
2589f14a1fa991baa7b6c6ece92038fb,True,24.89
630255e2e0462d1191412f6679330c68,True,21.31
f575f8112ecd11e45617e685a74b1888,True,14.53
06f7e52ce351133acf07e4ad11f0228b,True,13.10
f3aec0b893e721ef5fca35c83af64f90,True,21.65
167edfa818774646fa00951d2f966877,True,49.88
cd47656d6c3f8d18fa75c3f75e673b11,True,30.56
8c899edcb819941f50f8843a134556f3,True,19.68
fce90ecf6fd95a88ad0918b675738972,True,25.57
dd56866c31f5b06dad8d5e65d9106acc,True,15.15
6d4f0bfee18c6d983dc37d2fd77881e3,True,18.92
cccf3ec3a7021ff77b6d712f869e87f7,True,14.11
8f1424e99e59cd288a54edd73188e408,True,10.58
7732cd7448e09475b23a6318ebca7419,True,33.66
94a7e555f2f7aea227aa9dc5ad1f6084,True,9.04
3e89fe4f0c3ec669571ebb7adac41221,False,29.97
a32285e9f4537498d91eb4b6fbda2742,True,20.43
0d7b073a2e38f09dd35d537934b73c67,True,22.96
2482cffbaa96982c4a35ef16d7dd41f7,True,15.19
da6a2f3815cb1a89d6ccf83586b620d6,True,37.93
921b14d40de2305eafa3f1d607ce4f3d,True,22.16
9b5b35bb4d3f428e604888a56abf3b9c,True,5.24
020d149a49c63b71f6d52113cb9ae4c1,True,30.09
5bab71689a411090ba24442901b6465c,True,21.35
f30b57668879bdb06e62456d0c1e77be,True,18.71
d4afdf005e28cfee26ce3f892e85f4f2,True,14.99
b80e154bb077318523d4d451f6dcddf5,True,20.03
7651ee20007d9afcf755cf4f99d0b4bc,True,50.25
f4cd214473ec4801d37b2828672c6dfb,True,10.15
5319d92ec251e2de6d01fb7e1edb2c94,True,30.05
e72a07331100080307b15e11bb8c0840,True,13.95
80e08342ddb76a83a2c8dc41c1738304,True,38.66
e808a92c7a7191ada0a2e4f5b99ea6dd,True,29.79
e240bb3e20796ee4867da5695097290a,True,17.60
8f9a53b36edea03ea1fed2106528f6cb,True,23.07
d1b4839ed4764c408b54c2ccd0b31e9e,True,15.26
b6de5f4d4e728000c059684270ebec9b,True,34.57
0d970da4a6fa873516abfd5ffe9c1332,True,26.79
d10cce9b0f16a76f09a17d1db140d146,True,22.45
bf7ec7ce05407f73bf52c3b9a6ef7b15,True,47.83
c78ebf91198d42272782c7720f419edc,True,17.22
